2019-03-05 16:30:11,b RT Hariom Can U name even 1 political party in Pakistan amp our Kashmir which has not questioned the SurgicalStrike2 nU can t coz a xe2 x80 xa6,b'',0,
2019-03-05 16:30:09,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,b'Badrinath',0.5,
2019-03-05 16:30:09,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,b'',0.275,
2019-03-05 16:30:07,b RT Rahul Gandhi Arvind Kejriwal AAPCongressAlliance nMy cartoon for More,"b'Narnaul, India'",0.5,
2019-03-05 16:30:06,b RT mp So xe2 x80 x98s politics in full flow now n nHate our so much tht u will hug wink dalliance wth Terror suppr xe2 x80 xa6,"b'Bengaluru, India'",0.275,
2019-03-05 16:29:59,Bitter Gujju Shame on Congress Party and the Republic of Pakistan now openly supporting the Congress,,"b'Navi Mumbai, India'",0.075
2019-03-05 16:29:57,b sgh Cong should align with AAP in Delhi,b'Kolkata',0,
2019-03-05 16:29:55,b RT Today s issue thuglak IN tells the high committee that started a party in India wants to joi xe2 x80 xa6,b'Chennai',0.18,
2019-03-05 16:29:55,b has studied from Harvard amp has a MPhil from Trinity College Cambridge Really xf0 x9f x98 x83Let M xe2 x80 xa6,b'India',0.2,
2019-03-05 16:29:55,b RT will hold Congress Working Committee meet amp Jan Sankalp Rally in Gujarat on the historic day of 12th March t xe2 x80 xa6,"b'Navsari, Gujarat'",0,
2019-03-05 16:29:51,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,b'\xe0\xa4\x9c\xe0\xa5\x88 \xe0\xa4\xb9\xe0\xa4\xbf\xe0\xa4\x82\xe0\xa4\xa6 \xe0\xa4\x95\xe0\xa5\x80 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\xa8\xe0\xa4\xbe\xf0\x9f\x87\xae\xf0\x9f\x87\xb3\xe0\xa4\xb5\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x87 \xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xa4\xe0\xa4\xb0\xe0\xa4\xae\xe0\xa5\x8d',-1,
2019-03-05 16:29:47,b RT sharma I am glad this Jai Chand has started speaking again Wish Mani Aiyar and Khurshid also join in Together with xe2 x80 xa6,b'',0.5,
2019-03-05 16:29:43,b RT 5000 RTs on this tweet and will ask for proof amp number of casualities in these 3 surgical strikes from xe2 x80 xa6,b'India',0,
2019-03-05 16:29:42,b inc xe2 x80 xa6,"b'Guwahati, India'",0,
2019-03-05 16:29:40,b will congress act on this before Digi claims it to be slip of tung,"b'Mumbai, India'",0,
2019-03-05 16:29:34,b RT In what capacity nDynasty has run parallel government all the time nDynasty continues to prev xe2 x80 xa6,b'Mumbai',0,
2019-03-05 16:29:34,b harsha But still WC AbhinandanVarthaman had to go thru similar situation as Sq Ldr xe2 x80 xa6,"b'Karnataka, India'",0,
2019-03-05 16:29:30,b RT inc It suits to pappu I think,"b'\xe0\xa4\x87\xe0\xa4\x82\xe0\xa4\xa6\xe0\xa5\x8c\xe0\xa4\xb0, \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb0\xe0\xa4\xa4'",0,
2019-03-05 16:29:28,b RT MPhil from Trinity College Have standards dropped so low He wouldn t have even passed e xe2 x80 xa6,b'BHARATH BHUMI\xe2\x9b\xb3 .',0,
2019-03-05 16:29:22,b Tpuram is your consolation xe2 x80 xa6,b'Bangalore',0,
2019-03-05 16:29:21,b in Why did he mock Because he is a person like that with no con xe2 x80 xa6,b'Contai',0,
2019-03-05 16:29:20,b The one thing I can agree on The Haryana Government should not pass the proposal of a law which liter xe2 x80 xa6,"b'Bengaluru, India'",0,
2019-03-05 16:29:16,b if you are in the trap of RSS for Delhi awoke an see facts,b'India',0,
2019-03-05 16:29:12,b Btw if RaGa was not member of CCS no MOD no member of Defence xe2 x80 xa6,"b'Maharashtra, India'",-0.1,
2019-03-05 16:29:11,b RT Shocking statement from CONgress leader Belur Gopalakrishna he calls out to assassinate PM n nTo appease a pa xe2 x80 xa6,"b'Bengaluru, India'",-1,
